id,id_str,name,screen_name,location,description,url,entities,protected,followers_count,fast_followers_count,normal_followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,media_count,lang,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_image_extensions_media_color,profile_image_extensions_alt_text,profile_image_extensions_media_availability,profile_image_extensions,profile_banner_extensions_alt_text,profile_banner_extensions_media_availability,profile_banner_extensions_media_color,profile_banner_extensions,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,pinned_tweet_ids,pinned_tweet_ids_str,has_custom_timelines,can_dm,following,follow_request_sent,notifications,muting,blocking,blocked_by,want_retweets,advertiser_account_type,advertiser_account_service_levels,profile_interstitial_type,business_profile_state,translator_type,withheld_in_countries,followed_by,ext,require_some_consent,search_reporter_name,images
202594712,202594712,Allison Chinchar,AllisonChinchar,"Atlanta, GA",Meteorologist at HLN & CNN International. #NotAWeatherGirl Pluviophile who loves clouds/space/animals! OSU Meteorology grad. Opinions=mine,,{'description': {'urls': []}},False,6152,0,6152,1589,202,Thu Oct 14 11:53:10 +0000 2010,5468,,,False,True,8708,1065,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1110954020535975938/L7jxRvnf_normal.jpg,https://pbs.twimg.com/profile_images/1110954020535975938/L7jxRvnf_normal.jpg,https://pbs.twimg.com/profile_banners/202594712/1435403362,"{'palette': [{'rgb': {'red': 34, 'green': 41, 'blue': 47}, 'percentage': 37.77}, {'rgb': {'red': 132, 'green': 118, 'blue': 116}, 'percentage': 24.52}, {'rgb': {'red': 210, 'green': 199, 'blue': 186}, 'percentage': 15.64}, {'rgb': {'red': 217, 'green': 142, 'blue': 99}, 'percentage': 10.28}, {'rgb': {'red': 81, 'green': 56, 'blue': 40}, 'percentage': 8.04}]}",,,"{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,"{'palette': [{'rgb': {'red': 131, 'green': 164, 'blue': 207}, 'percentage': 60.47}, {'rgb': {'red': 76, 'green': 119, 'blue': 122}, 'percentage': 15.33}, {'rgb': {'red': 83, 'green': 122, 'blue': 179}, 'percentage': 11.26}, {'rgb': {'red': 156, 'green': 178, 'blue': 177}, 'percentage': 8.61}, {'rgb': {'red': 33, 'green': 41, 'blue': 49}, 'percentage': 0.8}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,[1439570608346607621],1439570608346607621,False,,,,,,,,,promotable_user,analytics,,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,Allison Chinchar,"[{'url': 'http://pbs.twimg.com/profile_images/1110954020535975938/L7jxRvnf_400x400.jpg', 'path': 'Allison Chinchar-AllisonChinchar-L7jxRvnf_400x400.jpg', 'checksum': '38910b6268c7440ad9a6a26f51501a0f', 'status': 'downloaded'}]"
977150888484704258,977150888484704258,Alisyn Camerota,AlisynCamerota,,@CNN anchor Newsroom weekdays 2-4pm Journalist/Author/Wife/Mother. I'm taking over @Distraction_pod for the month.,https://t.co/qwI4qTe65A,"{'url': {'urls': [{'url': 'https://t.co/qwI4qTe65A', 'expanded_url': 'https://linktr.ee/alisyncamerota', 'display_url': 'linktr.ee/alisyncamerota', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,27016,0,27016,168,136,Fri Mar 23 11:51:41 +0000 2018,918,,,False,True,445,161,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1301463695688642560/gp2tovO9_normal.jpg,https://pbs.twimg.com/profile_images/1301463695688642560/gp2tovO9_normal.jpg,https://pbs.twimg.com/profile_banners/977150888484704258/1599128331,"{'palette': [{'rgb': {'red': 22, 'green': 17, 'blue': 36}, 'percentage': 35.21}, {'rgb': {'red': 103, 'green': 56, 'blue': 45}, 'percentage': 25.86}, {'rgb': {'red': 177, 'green': 113, 'blue': 103}, 'percentage': 16.0}, {'rgb': {'red': 142, 'green': 121, 'blue': 113}, 'percentage': 9.21}, {'rgb': {'red': 123, 'green': 50, 'blue': 31}, 'percentage': 3.25}]}",,,"{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,"{'palette': [{'rgb': {'red': 255, 'green': 255, 'blue': 255}, 'percentage': 99.02}, {'rgb': {'red': 133, 'green': 133, 'blue': 133}, 'percentage': 0.98}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,[1427691668166303745],1427691668166303745,False,,,,,,,,,promotable_user,analytics,,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,Alisyn Camerota,"[{'url': 'http://pbs.twimg.com/profile_images/1301463695688642560/gp2tovO9_400x400.jpg', 'path': 'Alisyn Camerota-AlisynCamerota-gp2tovO9_400x400.jpg', 'checksum': 'd6d122c6f40bc07ea7899cc70dddc610', 'status': 'downloaded'}]"
97818576,97818576,Jennifer Rivera,JennRiveraTV,"New York, NY",Live & breathe all things journalism. @CNN Anchor @AlisynCamerota's Producer. Proud Boricua. @VanguardU alum.  #GoThere RTs ≠ Endorsements,http://t.co/11y4lsozOL,"{'url': {'urls': [{'url': 'http://t.co/11y4lsozOL', 'expanded_url': 'http://on.fb.me/12Df87B', 'display_url': 'on.fb.me/12Df87B', 'indices': [0, 22]}]}, 'description': {'urls': []}}",False,1338,0,1338,588,33,Sat Dec 19 04:24:37 +0000 2009,107,,,False,True,3373,180,,False,False,False,F5D2E7,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1088356072476282881/FNmytM0__normal.jpg,https://pbs.twimg.com/profile_images/1088356072476282881/FNmytM0__normal.jpg,https://pbs.twimg.com/profile_banners/97818576/1398385295,"{'palette': [{'rgb': {'red': 197, 'green': 204, 'blue': 210}, 'percentage': 46.26}, {'rgb': {'red': 33, 'green': 31, 'blue': 34}, 'percentage': 21.83}, {'rgb': {'red': 207, 'green': 145, 'blue': 120}, 'percentage': 12.08}, {'rgb': {'red': 1, 'green': 65, 'blue': 111}, 'percentage': 8.53}, {'rgb': {'red': 96, 'green': 60, 'blue': 46}, 'percentage': 4.31}]}",,,"{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,"{'palette': [{'rgb': {'red': 203, 'green': 191, 'blue': 175}, 'percentage': 61.83}, {'rgb': {'red': 65, 'green': 52, 'blue': 45}, 'percentage': 8.18}, {'rgb': {'red': 226, 'green': 164, 'blue': 123}, 'percentage': 5.41}, {'rgb': {'red': 69, 'green': 86, 'blue': 48}, 'percentage': 3.63}, {'rgb': {'red': 229, 'green': 224, 'blue': 163}, 'percentage': 3.56}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",827F80,000000,88CFB2,000000,False,False,False,False,,,False,,,,,,,,,promotable_user,smb,,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,Alisyn Camerota,"[{'url': 'http://pbs.twimg.com/profile_images/1088356072476282881/FNmytM0__400x400.jpg', 'path': 'Alisyn Camerota-JennRiveraTV-FNmytM0__400x400.jpg', 'checksum': 'b9899fa7988ab3f47b4e5947d49da20c', 'status': 'downloaded'}]"
1375289149,1375289149,New Day,NewDay,,Join @brikeilarcnn and @JohnBerman on CNN weekdays 6-9 a.m. ET for all the latest news. @Boris_Sanchez & @Christi_Paul host weekends.,https://t.co/LWwgvlvLNG,"{'url': {'urls': [{'url': 'https://t.co/LWwgvlvLNG', 'expanded_url': 'http://www.cnn.com', 'display_url': 'cnn.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,362550,0,362550,1252,2065,Tue Apr 23 19:11:41 +0000 2013,6746,,,True,True,65466,25571,,False,False,False,2D5789,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/878277573305933826/6JY1J1Ew_normal.jpg,https://pbs.twimg.com/profile_images/878277573305933826/6JY1J1Ew_normal.jpg,https://pbs.twimg.com/profile_banners/1375289149/1618851358,"{'palette': [{'rgb': {'red': 198, 'green': 32, 'blue': 45}, 'percentage': 58.73}, {'rgb': {'red': 254, 'green': 254, 'blue': 255}, 'percentage': 31.63}, {'rgb': {'red': 236, 'green': 33, 'blue': 38}, 'percentage': 3.42}, {'rgb': {'red': 213, 'green': 88, 'blue': 100}, 'percentage': 3.18}, {'rgb': {'red': 228, 'green': 162, 'blue': 163}, 'percentage': 2.9}]}",,,"{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,"{'palette': [{'rgb': {'red': 172, 'green': 193, 'blue': 192}, 'percentage': 20.95}, {'rgb': {'red': 16, 'green': 13, 'blue': 20}, 'percentage': 20.09}, {'rgb': {'red': 147, 'green': 77, 'blue': 64}, 'percentage': 10.57}, {'rgb': {'red': 27, 'green': 207, 'blue': 205}, 'percentage': 6.76}, {'rgb': {'red': 13, 'green': 66, 'blue': 96}, 'percentage': 4.47}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",FF3300,FFFFFF,DDEEF6,333333,True,False,False,False,,,False,,,,,,,,,promotable_user,"dso,media_studio",,none,regular,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,Alisyn Camerota,"[{'url': 'http://pbs.twimg.com/profile_images/878277573305933826/6JY1J1Ew_400x400.jpg', 'path': 'Alisyn Camerota-NewDay-6JY1J1Ew_400x400.jpg', 'checksum': '98df68df8ddeb9e118bd2933d90d3ccd', 'status': 'downloaded'}]"
298720852,298720852,Alejandro Fonseca,Fonztv,"Atlanta, GA",I'm a line producer for CNN Newsroom with Victor Blackwell and Alisyn Camerota. Proud Graduate of the U. Views are my own. Re-tweets are not endorsements.,,{'description': {'urls': []}},False,385,0,385,515,4,Sat May 14 20:25:53 +0000 2011,91,,,False,False,478,40,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1800969498/uat_rose_normal.jpg,https://pbs.twimg.com/profile_images/1800969498/uat_rose_normal.jpg,,"{'palette': [{'rgb': {'red': 55, 'green': 60, 'blue': 60}, 'percentage': 44.02}, {'rgb': {'red': 203, 'green': 218, 'blue': 231}, 'percentage': 18.82}, {'rgb': {'red': 113, 'green': 105, 'blue': 72}, 'percentage': 14.05}, {'rgb': {'red': 170, 'green': 165, 'blue': 150}, 'percentage': 3.69}, {'rgb': {'red': 35, 'green': 44, 'blue': 17}, 'percentage': 2.42}]}",,,"{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,,,False,,,,,,,,,none,,,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,Alisyn Camerota,"[{'url': 'http://pbs.twimg.com/profile_images/1800969498/uat_rose_400x400.jpg', 'path': 'Alisyn Camerota-Fonztv-uat_rose_400x400.jpg', 'checksum': 'cb0e3f84875d53ac7f6f90c1b3bd7552', 'status': 'downloaded'}]"
1472727721067360261,1472727721067360261,Alison Kosik,AlisonKoslk,New York,I’m a CNN Business Correspondent and Anchor. I’m tiny but mighty. Follow me on Instagram too https://t.co/fdxZ76HbAM,https://t.co/tizicbv3ax,"{'url': {'urls': [{'url': 'https://t.co/tizicbv3ax', 'expanded_url': 'http://cnn.com/marketsnow', 'display_url': 'cnn.com/marketsnow', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/fdxZ76HbAM', 'expanded_url': 'http://Instagram.com/Alisonkosik', 'display_url': 'Instagram.com/Alisonkosik', 'indices': [93, 116]}]}}",False,5,0,5,28,0,Mon Dec 20 00:37:21 +0000 2021,8,,,False,False,0,0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1472727957936422912/ghaLAVsI_normal.jpg,https://pbs.twimg.com/profile_images/1472727957936422912/ghaLAVsI_normal.jpg,https://pbs.twimg.com/profile_banners/1472727721067360261/1639961094,"{'palette': [{'rgb': {'red': 49, 'green': 45, 'blue': 44}, 'percentage': 79.73}, {'rgb': {'red': 184, 'green': 150, 'blue': 127}, 'percentage': 19.53}, {'rgb': {'red': 207, 'green': 180, 'blue': 165}, 'percentage': 0.27}, {'rgb': {'red': 86, 'green': 91, 'blue': 97}, 'percentage': 0.2}, {'rgb': {'red': 116, 'green': 71, 'blue': 62}, 'percentage': 0.13}]}",,,"{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,"{'palette': [{'rgb': {'red': 101, 'green': 122, 'blue': 140}, 'percentage': 39.15}, {'rgb': {'red': 94, 'green': 64, 'blue': 68}, 'percentage': 30.21}, {'rgb': {'red': 177, 'green': 112, 'blue': 94}, 'percentage': 10.05}, {'rgb': {'red': 60, 'green': 53, 'blue': 71}, 'percentage': 5.98}, {'rgb': {'red': 115, 'green': 72, 'blue': 53}, 'percentage': 3.78}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,,,False,,,,,,,,,none,,,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,Alison Kosik,"[{'url': 'http://pbs.twimg.com/profile_images/1472727957936422912/ghaLAVsI_400x400.jpg', 'path': 'Alison Kosik-AlisonKoslk-ghaLAVsI_400x400.jpg', 'checksum': 'c2a79b07c056a74d9659b79fbe41f6b8', 'status': 'downloaded'}]"
158573447,158573447,Alison Kosik,AlisonKosik,New York ,I'm a CNN Business Correspondent and Anchor. I'm tiny but mighty. Follow me on Instagram too https://t.co/iipsCJBiH3,https://t.co/yyX5igRg23,"{'url': {'urls': [{'url': 'https://t.co/yyX5igRg23', 'expanded_url': 'http://cnn.com/marketsnow', 'display_url': 'cnn.com/marketsnow', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/iipsCJBiH3', 'expanded_url': 'http://Instagram.com/Alisonkosik', 'display_url': 'Instagram.com/Alisonkosik', 'indices': [93, 116]}]}}",False,31890,0,31890,1343,635,Wed Jun 23 02:01:35 +0000 2010,1436,,,True,True,7154,214,,False,False,False,FFF04D,http://abs.twimg.com/images/themes/theme19/bg.gif,https://abs.twimg.com/images/themes/theme19/bg.gif,False,http://pbs.twimg.com/profile_images/2216502561/Alison_Kosik_1_v1_3_normal.jpg,https://pbs.twimg.com/profile_images/2216502561/Alison_Kosik_1_v1_3_normal.jpg,https://pbs.twimg.com/profile_banners/158573447/1586741136,"{'palette': [{'rgb': {'red': 48, 'green': 46, 'blue': 44}, 'percentage': 80.43}, {'rgb': {'red': 186, 'green': 150, 'blue': 126}, 'percentage': 18.7}, {'rgb': {'red': 88, 'green': 91, 'blue': 96}, 'percentage': 0.44}, {'rgb': {'red': 207, 'green': 181, 'blue': 166}, 'percentage': 0.26}, {'rgb': {'red': 114, 'green': 71, 'blue': 62}, 'percentage': 0.11}]}",,,"{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,"{'palette': [{'rgb': {'red': 102, 'green': 121, 'blue': 141}, 'percentage': 38.99}, {'rgb': {'red': 93, 'green': 64, 'blue': 67}, 'percentage': 30.38}, {'rgb': {'red': 176, 'green': 112, 'blue': 93}, 'percentage': 10.1}, {'rgb': {'red': 54, 'green': 61, 'blue': 80}, 'percentage': 6.58}, {'rgb': {'red': 112, 'green': 71, 'blue': 52}, 'percentage': 3.89}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",0099CC,FFF8AD,F6FFD1,333333,True,False,False,False,,,False,,,,,,,,,promotable_user,analytics,,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,Alison Kosik,"[{'url': 'http://pbs.twimg.com/profile_images/2216502561/Alison_Kosik_1_v1_3_400x400.jpg', 'path': 'Alison Kosik-AlisonKosik-Alison_Kosik_1_v1_3_400x400.jpg', 'checksum': '911ad86068a82a145b32a8e01212e9be', 'status': 'downloaded'}]"
35903137,35903137,Alex Thomas,alexthomascnn,"Normally, London.",Sports Anchor for CNN International. Retweets aren't endorsements.,https://t.co/7sYAXj4hmv,"{'url': {'urls': [{'url': 'https://t.co/7sYAXj4hmv', 'expanded_url': 'http://www.cnn.com/worldsport', 'display_url': 'cnn.com/worldsport', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,8392,0,8392,906,251,Mon Apr 27 23:25:31 +0000 2009,6502,,,False,True,16345,1105,,False,False,False,591414,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1308388023147560960/iN2ji90d_normal.jpg,https://pbs.twimg.com/profile_images/1308388023147560960/iN2ji90d_normal.jpg,https://pbs.twimg.com/profile_banners/35903137/1509027919,"{'palette': [{'rgb': {'red': 24, 'green': 28, 'blue': 41}, 'percentage': 50.9}, {'rgb': {'red': 234, 'green': 242, 'blue': 231}, 'percentage': 11.36}, {'rgb': {'red': 33, 'green': 57, 'blue': 102}, 'percentage': 6.26}, {'rgb': {'red': 208, 'green': 118, 'blue': 105}, 'percentage': 3.86}, {'rgb': {'red': 195, 'green': 155, 'blue': 120}, 'percentage': 3.25}]}",,,"{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,"{'palette': [{'rgb': {'red': 141, 'green': 153, 'blue': 172}, 'percentage': 78.2}, {'rgb': {'red': 52, 'green': 75, 'blue': 108}, 'percentage': 13.61}, {'rgb': {'red': 201, 'green': 181, 'blue': 183}, 'percentage': 4.27}, {'rgb': {'red': 37, 'green': 28, 'blue': 38}, 'percentage': 2.94}, {'rgb': {'red': 153, 'green': 123, 'blue': 124}, 'percentage': 1.22}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",781717,000000,C0DFEC,333333,True,False,False,False,,,True,,,,,,,,,promotable_user,analytics,,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,Alex Thomas,"[{'url': 'http://pbs.twimg.com/profile_images/1308388023147560960/iN2ji90d_400x400.jpg', 'path': 'Alex Thomas-alexthomascnn-iN2ji90d_400x400.jpg', 'checksum': '78f32e7d49ef5b43c9fbb4ab022fd548', 'status': 'downloaded'}]"
257163335,257163335,Alberto Moya,albertomoya160,"Los Angeles, CA",CNN Los Angeles Producer.   Disclaimer: tweets are my own and not CNN's,,{'description': {'urls': []}},True,46,0,46,864,2,Thu Feb 24 21:35:40 +0000 2011,1,,,False,False,12,0,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/574951168125743105/pEOiJoTz_normal.jpeg,https://pbs.twimg.com/profile_images/574951168125743105/pEOiJoTz_normal.jpeg,,"{'palette': [{'rgb': {'red': 66, 'green': 112, 'blue': 149}, 'percentage': 39.6}, {'rgb': {'red': 18, 'green': 19, 'blue': 21}, 'percentage': 27.05}, {'rgb': {'red': 172, 'green': 172, 'blue': 170}, 'percentage': 14.05}, {'rgb': {'red': 25, 'green': 30, 'blue': 57}, 'percentage': 5.32}, {'rgb': {'red': 87, 'green': 45, 'blue': 40}, 'percentage': 4.19}]}",,,"{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,,,0084B4,A8C7F7,C0DFEC,333333,True,False,False,False,,,True,,,,,,,,,none,,,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,Alberto Moya,"[{'url': 'http://pbs.twimg.com/profile_images/574951168125743105/pEOiJoTz_400x400.jpeg', 'path': 'Alberto Moya-albertomoya160-pEOiJoTz_400x400.jpeg', 'checksum': '21341a841be4777ff878c94ed81f61be', 'status': 'downloaded'}]"
890733008017387520,890733008017387520,Abby Phillip FanClub,AbbyPhillipsCNN,,Praising the very talented analyst/reporter,,{'description': {'urls': []}},False,152,0,152,56,1,Fri Jul 28 00:37:52 +0000 2017,0,,,False,False,0,0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,,,,,,,,,1B95E0,000000,000000,000000,False,False,False,True,,,False,,,,,,,,,none,,,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,Abby Phillip,
414894926,414894926,Alexandra Field,AFieldCNN,,CNN international correspondent. New York. Hong Kong. Hotels in-between.,https://t.co/ctDXUbw2ty,"{'url': {'urls': [{'url': 'https://t.co/ctDXUbw2ty', 'expanded_url': 'http://edition.cnn.com/profiles/alexandra-field-profile', 'display_url': 'edition.cnn.com/profiles/alexa…', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,8612,0,8612,444,191,Thu Nov 17 16:40:55 +0000 2011,280,,,True,True,594,18,,False,False,False,E7EDF0,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/857887762514673665/f5DTYGs-_normal.jpg,https://pbs.twimg.com/profile_images/857887762514673665/f5DTYGs-_normal.jpg,https://pbs.twimg.com/profile_banners/414894926/1493372657,"{'palette': [{'rgb': {'red': 212, 'green': 202, 'blue': 187}, 'percentage': 31.62}, {'rgb': {'red': 242, 'green': 176, 'blue': 111}, 'percentage': 18.95}, {'rgb': {'red': 109, 'green': 123, 'blue': 136}, 'percentage': 14.72}, {'rgb': {'red': 57, 'green': 42, 'blue': 36}, 'percentage': 12.39}, {'rgb': {'red': 213, 'green': 109, 'blue': 54}, 'percentage': 4.38}]}",,,"{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,"{'palette': [{'rgb': {'red': 48, 'green': 43, 'blue': 37}, 'percentage': 41.35}, {'rgb': {'red': 176, 'green': 137, 'blue': 95}, 'percentage': 20.44}, {'rgb': {'red': 236, 'green': 236, 'blue': 216}, 'percentage': 8.41}, {'rgb': {'red': 121, 'green': 89, 'blue': 57}, 'percentage': 6.25}, {'rgb': {'red': 242, 'green': 221, 'blue': 167}, 'percentage': 5.05}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",0084B4,FFFFFF,DDEEF6,333333,False,False,False,False,,,False,,,,,,,,,promotable_user,analytics,,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,Alexandra Field,"[{'url': 'http://pbs.twimg.com/profile_images/857887762514673665/f5DTYGs-_400x400.jpg', 'path': 'Alexandra Field-AFieldCNN-f5DTYGs-_400x400.jpg', 'checksum': '76635edf76bb32d1efe9dfd2a185ce1c', 'status': 'downloaded'}]"
27938809,27938809,Alex Marquardt,MarquardtA,"Washington, DC","@CNN Senior National Security Correspondent | Ex-@ABC in Beirut/Jerusalem/Moscow | IG: @MarquardtCNN | DM for Signal, atmarquardt@protonmail.com",,{'description': {'urls': []}},False,65573,0,65573,1415,2279,Tue Mar 31 19:10:28 +0000 2009,1302,,,True,True,10361,1133,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/491619891116404737/UQxESmip_normal.png,https://pbs.twimg.com/profile_images/491619891116404737/UQxESmip_normal.png,https://pbs.twimg.com/profile_banners/27938809/1477210351,"{'palette': [{'rgb': {'red': 162, 'green': 152, 'blue': 152}, 'percentage': 39.68}, {'rgb': {'red': 49, 'green': 35, 'blue': 34}, 'percentage': 37.55}, {'rgb': {'red': 170, 'green': 105, 'blue': 97}, 'percentage': 18.76}, {'rgb': {'red': 39, 'green': 35, 'blue': 48}, 'percentage': 0.79}, {'rgb': {'red': 112, 'green': 63, 'blue': 60}, 'percentage': 0.31}]}",,,"{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,"{'palette': [{'rgb': {'red': 64, 'green': 52, 'blue': 31}, 'percentage': 56.27}, {'rgb': {'red': 124, 'green': 106, 'blue': 89}, 'percentage': 23.44}, {'rgb': {'red': 226, 'green': 212, 'blue': 192}, 'percentage': 18.2}, {'rgb': {'red': 7, 'green': 3, 'blue': 2}, 'percentage': 3.98}, {'rgb': {'red': 181, 'green': 134, 'blue': 89}, 'percentage': 1.51}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",009999,EEEEEE,EFEFEF,333333,True,False,False,False,,,True,,,,,,,,,promotable_user,analytics,,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,Alex Marquardt,"[{'url': 'http://pbs.twimg.com/profile_images/491619891116404737/UQxESmip_400x400.png', 'path': 'Alex Marquardt-MarquardtA-UQxESmip_400x400.png', 'checksum': '486c690577a0bb571c7da8c02f1335cb', 'status': 'downloaded'}]"
181051849,181051849,A D R I E N N E  B R O A D D U S,abroaddus,"Chicago, IL","I’m a @CNN correspondent focused on the Midwest. Former @kare11 anchor /reporter who loves greeting cards. 4x Emmy Award winner. #AKA1908, #NABJ, #SPJ member.",https://t.co/9pZsf0SMLz,"{'url': {'urls': [{'url': 'https://t.co/9pZsf0SMLz', 'expanded_url': 'http://www.adriennebroaddus.com', 'display_url': 'adriennebroaddus.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,9155,0,9155,2881,243,Sat Aug 21 04:14:51 +0000 2010,8741,,,True,True,8153,1963,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1223467547091177478/_m00A_-w_normal.jpg,https://pbs.twimg.com/profile_images/1223467547091177478/_m00A_-w_normal.jpg,https://pbs.twimg.com/profile_banners/181051849/1615581058,"{'palette': [{'rgb': {'red': 254, 'green': 254, 'blue': 254}, 'percentage': 70.58}, {'rgb': {'red': 250, 'green': 66, 'blue': 96}, 'percentage': 16.82}, {'rgb': {'red': 252, 'green': 111, 'blue': 125}, 'percentage': 5.1}, {'rgb': {'red': 222, 'green': 145, 'blue': 114}, 'percentage': 3.98}, {'rgb': {'red': 99, 'green': 78, 'blue': 79}, 'percentage': 1.86}]}",,,"{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",,,"{'palette': [{'rgb': {'red': 59, 'green': 63, 'blue': 74}, 'percentage': 48.67}, {'rgb': {'red': 175, 'green': 171, 'blue': 164}, 'percentage': 35.25}, {'rgb': {'red': 113, 'green': 112, 'blue': 114}, 'percentage': 18.13}]}","{'mediaStats': {'r': {'missing': None}, 'ttl': -1}}",0084B4,A8C7F7,C0DFEC,333333,True,True,False,False,[1474146608900198400],1474146608900198400,False,,,,,,,,,promotable_user,analytics,,none,none,,,"{'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}",False,Adrienne Broaddus,"[{'url': 'http://pbs.twimg.com/profile_images/1223467547091177478/_m00A_-w_400x400.jpg', 'path': 'Adrienne Broaddus-abroaddus-_m00A_-w_400x400.jpg', 'checksum': '57cfd55847be3c13304c487a7214efd8', 'status': 'downloaded'}]"
